description,category,deadline_proximity,vulnerability_score,urgency_label
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,11,39,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,20,66,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,16,5,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,14,7,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,8,90,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Education,3,48,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,9,67,Medium
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,22,90,High
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,31,63,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,19,46,Low
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,3,91,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,5,6,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,7,35,Medium
Educational program for refugees requires immediate funding (Updated case),Logistics,10,100,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,12,51,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,22,79,Critical
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,18,1,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,16,13,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,10,1,Medium
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,7,21,High
Urgent need for medical supplies in rural areas (Updated case),Security,7,54,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,3,13,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,10,19,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,17,89,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,23,62,Critical
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,19,43,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,20,49,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,17,26,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,26,46,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,30,32,Low
Logistical delays affecting food distribution in remote villages (Updated case),Education,11,81,High
Educational program for refugees requires immediate funding (Updated case),Education,25,32,High
Urgent need for medical supplies in rural areas (Updated case),Security,12,54,Low
Road repairs required due to heavy rainfall damage (Updated case),Medical,8,20,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,11,45,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,25,25,Critical
New school materials needed for underprivileged children (Updated case),Education,23,34,Medium
New school materials needed for underprivileged children (Updated case),Logistics,5,26,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,5,1,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,5,50,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,21,1,Low
Educational program for refugees requires immediate funding (Updated case),Education,13,98,Medium
Road repairs required due to heavy rainfall damage (Updated case),Logistics,5,17,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,18,54,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,25,38,Low
Educational program for refugees requires immediate funding (Updated case),Logistics,3,19,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,22,19,High
New school materials needed for underprivileged children (Updated case),Infrastructure,1,17,High
Road repairs required due to heavy rainfall damage (Updated case),Education,7,57,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,26,83,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,20,80,High
New school materials needed for underprivileged children (Updated case),Medical,31,53,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,14,91,High
Educational program for refugees requires immediate funding (Updated case),Infrastructure,4,10,Medium
Road repairs required due to heavy rainfall damage (Updated case),Education,29,18,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,11,17,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,13,30,Critical
Educational program for refugees requires immediate funding (Updated case),Medical,23,83,Low
Educational program for refugees requires immediate funding (Updated case),Infrastructure,27,39,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,11,58,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,24,55,Medium
Urgent need for medical supplies in rural areas (Updated case),Medical,3,27,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,5,75,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,13,88,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,22,1,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,26,60,High
Urgent need for medical supplies in rural areas (Updated case),Education,19,67,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,34,86,Medium
Urgent need for medical supplies in rural areas (Updated case),Security,17,75,Low
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,24,71,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,5,93,Low
New school materials needed for underprivileged children (Updated case),Medical,23,47,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,16,32,High
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,32,43,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,1,7,Medium
